,importance
no_of_trainings,0.00819142
age,0.007630731
previous_year_rating,0.023463575
length_of_service,0.0072721443
KPIs_met >80%,0.169514
avg_training_score,0.04003237
department_Analytics,0.040459625
department_Finance,0.043099362
department_HR,0.03217179
department_Legal,0.01829128
department_Operations,0.071227044
department_Procurement,0.06886711
department_R&D,0.03205701
department_Sales & Marketing,0.13026558
department_Technology,0.015076653
region_region_1,0.006348157
region_region_10,0.0012416127
region_region_11,0.006928893
region_region_12,0.007116679
region_region_13,0.0097835
region_region_14,0.0065151774
region_region_15,0.008716382
region_region_16,0.007071717
region_region_17,0.009631232
region_region_18,0.0
region_region_19,0.0064288317
region_region_2,0.00820143
region_region_20,0.005082832
region_region_21,0.005965135
region_region_22,0.012349697
region_region_23,0.007006107
region_region_24,0.0064824657
region_region_25,0.012253038
region_region_26,0.0076395227
region_region_27,0.0032897613
region_region_28,0.009043225
region_region_29,0.0106076365
region_region_3,0.0043539093
region_region_30,0.009209589
region_region_31,0.007816254
region_region_32,0.006278212
region_region_33,0.0020933677
region_region_34,0.0065713753
region_region_4,0.012985707
region_region_5,0.0035028546
region_region_6,0.008325331
region_region_7,0.011425096
region_region_8,0.006582232
region_region_9,0.007225358
education_Bachelor's,0.006507957
education_Below Secondary,0.0034473585
education_Master's & above,0.009535838
gender_f,0.0075401645
gender_m,0.0
recruitment_channel_other,0.0053692134
recruitment_channel_referred,0.008150917
recruitment_channel_sourcing,0.0077565466
